name,Preço_Min,Preço_Max,Preço_Médio,Desvio_Padrão,Registros,Data_Inicial,Data_Final,Variação_%
Company Of Heroes 2,9.24,104.9,54.0,35.74,40,2023-01-02,2025-08-25,1035.3
Cyberpunk 2077,69.96,199.9,156.39,54.05,17,2023-01-09,2025-10-06,185.7
Dead By Daylight,17.49,69.99,39.63,17.6,52,2023-01-09,2025-08-25,300.2
Elden Ring,151.73,274.5,227.64,41.16,6,2023-05-01,2025-10-06,80.9
Grand Theft Auto,23.82,105.66,52.85,19.58,55,2023-05-01,2025-02-24,343.6
Hollow Knight,23.49,46.99,34.99,11.83,29,2023-01-02,2025-08-25,100.0
Red Dead Redemption,74.97,299.9,225.99,95.04,18,2023-01-30,2025-06-02,300.0
Sid Meiers Civilization Vi,6.45,129.0,73.61,54.31,20,2023-01-09,2025-10-06,1900.0
Stardew Valley,12.49,24.99,20.63,4.74,35,2023-01-02,2025-08-25,100.1
The Witcher 3,12.99,129.99,73.09,48.08,53,2023-01-02,2025-08-25,900.7
